corpus,date,time
nice work,2020-08-03,23:26:00
It s on at least 3 streams on yet and,2020-08-03,23:26:01
lt eyes,2020-08-03,23:26:06
Good luck we are all watching,2020-08-03,23:26:07
Smooth hopping,2020-08-03,23:26:07
Who else is watching the stream,2020-08-03,23:26:07
Nothing new has really been achieved though,2020-08-03,23:26:07
Not really redistributed but rather paid fairly for the work that contributed to creatiion of wealth Perhaps if you obtain better education so you program robots to do all hard work then maybe the future of human robotic civilization will be assured,2020-08-03,23:26:08
Elon musk is here,2020-08-03,23:26:08
Will there be a SpaceX livestream,2020-08-03,23:26:10
Waiting patiently,2020-08-03,23:26:10
Where s the eyes,2020-08-03,23:26:10
especially in places like the Bay Area and L A and New York He s right and if I d assume he s laying down a warning in a hopeful manner Why do I say this He could live anywhere in the world and have his boots kissed and he lives in the US,2020-08-03,23:26:10
stoked,2020-08-03,23:26:11
Excited,2020-08-03,23:26:11
SpaceX official livestream,2020-08-03,23:26:11
Good luck SN5,2020-08-03,23:26:13
We do How did they move 2 3 million rocks averaging 2 5 tons over 500 miles,2020-08-03,23:26:16
Tim why no nose cone,2020-08-03,23:26:17
Blocky end up check Umm Other Blocky end down check GodSpeed,2020-08-03,23:26:18
Unusually busy week,2020-08-03,23:26:19
Eyes,2020-08-03,23:26:19
Dood I want to sleeeeeep xD,2020-08-03,23:26:20
Really hope you and we get to witness that,2020-08-03,23:26:20
Hello Tim,2020-08-03,23:26:21
We re all pulling for yah Mars or bust,2020-08-03,23:26:21
Good Luck I am Hyped,2020-08-03,23:26:21
I was watching,2020-08-03,23:26:24
We re all watching,2020-08-03,23:26:25
I m so exited Good luck,2020-08-03,23:26:25
When you saw this tweet happen,2020-08-03,23:26:25
i mean if you really wanna know the size of that just ask my girl,2020-08-03,23:26:25
Are we going to have official stream of,2020-08-03,23:26:25
Really excited Good luck,2020-08-03,23:26:28
Synaps well thats never going to happen unless within the next 10 years or so,2020-08-03,23:26:28
Watching your live stream Good Luck Go SpaceX,2020-08-03,23:26:29
Hate it when this happens It ways happens to me,2020-08-03,23:26:31
Thanks for the update sir,2020-08-03,23:26:31
Livestream,2020-08-03,23:26:32
Yes let s go,2020-08-03,23:26:33
No need its Only 150m,2020-08-03,23:26:33
Can Taiwan have Model Y delivery in early 2021 Our EV incentives will end by 2021 12 31,2020-08-03,23:26:33
This is exciting Good luck twitter com elonmusk statu,2020-08-03,23:26:33
Godspeed,2020-08-03,23:26:34
Where is the control room Hope Elon is safe,2020-08-03,23:26:34
How is that future assured Specifics,2020-08-03,23:26:35
I m confused,2020-08-03,23:26:35
Yeah Will there be a drone livestream,2020-08-03,23:26:35
1 Your move,2020-08-03,23:26:36
Falcon 5 Probably not but there are a few to choose from Everyday Astronaut has his own camera up and streaming for example,2020-08-03,23:26:38
Good luck,2020-08-03,23:26:38
Best of luck guys We re glued to our screens Can t wait to see the leaning hover,2020-08-03,23:26:40
Will there be a SpaceX hosted livestream,2020-08-03,23:26:44
SN 5 150m hop in 30 minutes per Elon Musk STARSHIP SpaceX Good luck,2020-08-03,23:26:44
good luck guys will it be livestreamed,2020-08-03,23:26:44
atmospheric entry plasma there s a phrase I dont get to use often enough in sentences,2020-08-03,23:26:44
Lmao catastarpult,2020-08-03,23:26:46
Crossing my fingers,2020-08-03,23:26:47
Can t wait,2020-08-03,23:26:47
Is stoked still a fashionable word to use with the kids I sure am,2020-08-03,23:26:50
Awesome Good luck Im watching ur feed good job bro,2020-08-03,23:26:51
GOOD LUCKKK I WAS HERE,2020-08-03,23:26:51
